=== Class-Wise Adaptive Fusion Training Log with SAM ===
Epoch 051 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 0.8452 | Train: 99.49% | ★Test: 38.05% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 052 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 0.8622 | Train: 98.99% | ★Test: 39.71% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 053 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000299 | Gt-LR: 0.000000] -> Loss: 0.8479 | Train: 99.55% | ★Test: 35.48% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 054 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000297 | Gt-LR: 0.000000] -> Loss: 0.8451 | Train: 99.21% | ★Test: 36.21% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 055 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000295 | Gt-LR: 0.000000] -> Loss: 0.8352 | Train: 99.55% | ★Test: 35.48% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 056 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000293 | Gt-LR: 0.000000] -> Loss: 0.8333 | Train: 99.61% | ★Test: 38.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 057 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000289 | Gt-LR: 0.000000] -> Loss: 0.8121 | Train: 99.83% | ★Test: 40.07% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 058 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000286 | Gt-LR: 0.000000] -> Loss: 0.7970 | Train: 99.94% | ★Test: 41.36% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 059 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000281 | Gt-LR: 0.000000] -> Loss: 0.7931 | Train: 99.89% | ★Test: 39.71% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 060 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000277 | Gt-LR: 0.000000] -> Loss: 0.7870 | Train: 99.83% | ★Test: 36.40% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 061 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000271 | Gt-LR: 0.000000] -> Loss: 0.7780 | Train: 100.00% | ★Test: 43.75% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 062 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000266 | Gt-LR: 0.000000] -> Loss: 0.7739 | Train: 99.89% | ★Test: 43.57% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 063 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000259 | Gt-LR: 0.000000] -> Loss: 0.7683 | Train: 99.94% | ★Test: 37.50% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 064 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000253 | Gt-LR: 0.000000] -> Loss: 0.7687 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 065 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000246 | Gt-LR: 0.000000] -> Loss: 0.7625 | Train: 100.00% | ★Test: 42.83% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 066 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000238 | Gt-LR: 0.000000] -> Loss: 0.7669 | Train: 100.00% | ★Test: 38.05% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 067 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000230 | Gt-LR: 0.000000] -> Loss: 0.7541 | Train: 100.00% | ★Test: 44.85% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 068 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000222 | Gt-LR: 0.000000] -> Loss: 0.7455 | Train: 100.00% | ★Test: 43.01% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 069 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000214 | Gt-LR: 0.000000] -> Loss: 0.7543 | Train: 100.00% | ★Test: 41.91% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 070 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000205 | Gt-LR: 0.000000] -> Loss: 0.7468 | Train: 100.00% | ★Test: 46.69% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 071 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000196 | Gt-LR: 0.000000] -> Loss: 0.7388 | Train: 100.00% | ★Test: 45.04% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 072 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000187 | Gt-LR: 0.000000] -> Loss: 0.7352 | Train: 100.00% | ★Test: 47.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 073 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000178 | Gt-LR: 0.000000] -> Loss: 0.7358 | Train: 100.00% | ★Test: 44.49% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 074 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000169 | Gt-LR: 0.000000] -> Loss: 0.7316 | Train: 100.00% | ★Test: 47.98% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 075 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000159 | Gt-LR: 0.000000] -> Loss: 0.7311 | Train: 100.00% | ★Test: 46.51% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 076 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000150 | Gt-LR: 0.000000] -> Loss: 0.7281 | Train: 100.00% | ★Test: 46.69% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 077 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000141 | Gt-LR: 0.000000] -> Loss: 0.7260 | Train: 100.00% | ★Test: 45.77% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 078 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000131 | Gt-LR: 0.000000] -> Loss: 0.7241 | Train: 100.00% | ★Test: 47.61% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 079 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000122 | Gt-LR: 0.000000] -> Loss: 0.7247 | Train: 100.00% | ★Test: 46.51% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 080 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000113 | Gt-LR: 0.000000] -> Loss: 0.7228 | Train: 100.00% | ★Test: 47.61% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 081 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000104 | Gt-LR: 0.000000] -> Loss: 0.7228 | Train: 100.00% | ★Test: 48.90% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 082 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000095 | Gt-LR: 0.000000] -> Loss: 0.7204 | Train: 100.00% | ★Test: 47.61% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 083 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000086 | Gt-LR: 0.000000] -> Loss: 0.7197 | Train: 100.00% | ★Test: 46.88% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 084 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000078 | Gt-LR: 0.000000] -> Loss: 0.7191 | Train: 100.00% | ★Test: 45.77% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 085 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000070 | Gt-LR: 0.000000] -> Loss: 0.7197 | Train: 100.00% | ★Test: 46.88% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 086 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000062 | Gt-LR: 0.000000] -> Loss: 0.7181 | Train: 100.00% | ★Test: 47.06% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 087 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000054 | Gt-LR: 0.000000] -> Loss: 0.7176 | Train: 100.00% | ★Test: 47.43% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 088 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000047 | Gt-LR: 0.000000] -> Loss: 0.7170 | Train: 100.00% | ★Test: 47.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 089 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000041 | Gt-LR: 0.000000] -> Loss: 0.7161 | Train: 100.00% | ★Test: 47.98% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 090 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000034 | Gt-LR: 0.000000] -> Loss: 0.7158 | Train: 100.00% | ★Test: 48.90% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 091 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000029 | Gt-LR: 0.000000] -> Loss: 0.7159 | Train: 100.00% | ★Test: 46.69% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 092 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000023 | Gt-LR: 0.000000] -> Loss: 0.7154 | Train: 100.00% | ★Test: 46.88% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 093 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000019 | Gt-LR: 0.000000] -> Loss: 0.7148 | Train: 100.00% | ★Test: 48.35% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 094 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000014 | Gt-LR: 0.000000] -> Loss: 0.7144 | Train: 100.00% | ★Test: 46.32% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
