=== Class-Wise Adaptive Fusion Training Log ===
Epoch 066 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000238 | Gt-LR: 0.000000] -> Loss: 1.0019 | Train: 97.07% | ★Test: 31.25% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 067 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000230 | Gt-LR: 0.000000] -> Loss: 0.9727 | Train: 98.59% | ★Test: 40.44% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 068 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000222 | Gt-LR: 0.000000] -> Loss: 0.9137 | Train: 99.10% | ★Test: 38.97% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 069 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000214 | Gt-LR: 0.000000] -> Loss: 0.8818 | Train: 99.61% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 070 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000205 | Gt-LR: 0.000000] -> Loss: 0.8509 | Train: 99.77% | ★Test: 39.52% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 071 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000196 | Gt-LR: 0.000000] -> Loss: 0.8315 | Train: 100.00% | ★Test: 43.57% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 072 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000187 | Gt-LR: 0.000000] -> Loss: 0.8189 | Train: 100.00% | ★Test: 41.54% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 073 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000178 | Gt-LR: 0.000000] -> Loss: 0.8150 | Train: 99.94% | ★Test: 40.99% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 074 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000169 | Gt-LR: 0.000000] -> Loss: 0.8020 | Train: 100.00% | ★Test: 42.10% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 075 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000159 | Gt-LR: 0.000000] -> Loss: 0.7943 | Train: 100.00% | ★Test: 41.18% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 076 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000150 | Gt-LR: 0.000000] -> Loss: 0.7852 | Train: 100.00% | ★Test: 43.57% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 077 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000141 | Gt-LR: 0.000000] -> Loss: 0.7745 | Train: 100.00% | ★Test: 41.91% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 078 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000131 | Gt-LR: 0.000000] -> Loss: 0.7707 | Train: 100.00% | ★Test: 43.01% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 079 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000122 | Gt-LR: 0.000000] -> Loss: 0.7644 | Train: 100.00% | ★Test: 42.83% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 080 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000113 | Gt-LR: 0.000000] -> Loss: 0.7654 | Train: 100.00% | ★Test: 43.01% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
