=== Class-Wise Adaptive Fusion Training Log (3-Stage) ===
Epoch 063 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000259 | Gt-LR: 0.000000] -> Loss: 1.3646 | Train: 85.19% | ★Test: 39.15% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 064 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000253 | Gt-LR: 0.000000] -> Loss: 1.2216 | Train: 90.99% | ★Test: 36.40% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 065 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000246 | Gt-LR: 0.000000] -> Loss: 1.1029 | Train: 95.21% | ★Test: 36.58% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 066 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000238 | Gt-LR: 0.000000] -> Loss: 1.0518 | Train: 96.57% | ★Test: 36.76% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 067 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000230 | Gt-LR: 0.000000] -> Loss: 0.9865 | Train: 97.86% | ★Test: 36.03% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 068 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000222 | Gt-LR: 0.000000] -> Loss: 0.9218 | Train: 99.38% | ★Test: 42.46% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 069 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000214 | Gt-LR: 0.000000] -> Loss: 0.8832 | Train: 99.72% | ★Test: 37.50% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 070 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000205 | Gt-LR: 0.000000] -> Loss: 0.8654 | Train: 99.55% | ★Test: 37.32% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 071 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000196 | Gt-LR: 0.000000] -> Loss: 0.8552 | Train: 99.77% | ★Test: 40.44% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 072 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000187 | Gt-LR: 0.000000] -> Loss: 0.8313 | Train: 99.89% | ★Test: 38.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
