=== Class-Wise Adaptive Fusion Training Log (3-Stage with ASAM) ===
Epoch 048 [STAGE-1 (Global-Train) | G-LR: 0.000003 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7087 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 049 [STAGE-1 (Global-Train) | G-LR: 0.000001 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7089 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 050 [STAGE-1 (Global-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7087 | Train: 100.00% | ★Test: 78.49% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]

🔄 [Stage-1 Transition] Stage-1の最高精度重み (79.04%) をロードしてStage-2へ移行します。

Epoch 051 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 3.7944 | Train: 3.38% | ★Test: 7.17% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 052 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 3.4128 | Train: 11.77% | ★Test: 9.38% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 053 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000299 | Gt-LR: 0.000000] -> Loss: 3.1035 | Train: 18.64% | ★Test: 19.85% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 054 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000297 | Gt-LR: 0.000000] -> Loss: 2.8930 | Train: 23.09% | ★Test: 18.93% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 055 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000295 | Gt-LR: 0.000000] -> Loss: 2.6885 | Train: 29.62% | ★Test: 27.94% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 056 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000293 | Gt-LR: 0.000000] -> Loss: 2.5236 | Train: 35.02% | ★Test: 24.82% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 057 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000289 | Gt-LR: 0.000000] -> Loss: 2.4077 | Train: 38.06% | ★Test: 30.70% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 058 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000286 | Gt-LR: 0.000000] -> Loss: 2.2290 | Train: 47.02% | ★Test: 31.07% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
