=== THUE-ACT-50 CHL (2-Stage Global-First Sequential Training) ===
===================================================================
Epoch 055/100 [PHASE-2 (Fused) | Bb-LR: 0.000131 / Gt-LR: 0.01312] -> Loss: 0.7170 | Train Top-1: 100.00% | ★Test Top-1: 72.98% (Top-5: 94.85%) | [G-Gate: 0.736 / L-Gate: 0.264]
Epoch 056/100 [PHASE-2 (Fused) | Bb-LR: 0.000127 / Gt-LR: 0.01181] -> Loss: 0.7139 | Train Top-1: 100.00% | ★Test Top-1: 74.08% (Top-5: 94.85%) | [G-Gate: 0.735 / L-Gate: 0.265]
Epoch 057/100 [PHASE-2 (Fused) | Bb-LR: 0.000122 / Gt-LR: 0.01063] -> Loss: 0.7118 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 94.85%) | [G-Gate: 0.735 / L-Gate: 0.265]
Epoch 058/100 [PHASE-2 (Fused) | Bb-LR: 0.000117 / Gt-LR: 0.00957] -> Loss: 0.7104 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 95.22%) | [G-Gate: 0.739 / L-Gate: 0.261]
Epoch 059/100 [PHASE-2 (Fused) | Bb-LR: 0.000113 / Gt-LR: 0.00861] -> Loss: 0.7095 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.40%) | [G-Gate: 0.740 / L-Gate: 0.260]
Epoch 060/100 [PHASE-2 (Fused) | Bb-LR: 0.000108 / Gt-LR: 0.00775] -> Loss: 0.7089 | Train Top-1: 100.00% | ★Test Top-1: 75.55% (Top-5: 94.85%) | [G-Gate: 0.742 / L-Gate: 0.258]
Epoch 061/100 [PHASE-2 (Fused) | Bb-LR: 0.000104 / Gt-LR: 0.00697] -> Loss: 0.7081 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 94.85%) | [G-Gate: 0.744 / L-Gate: 0.256]
Epoch 062/100 [PHASE-2 (Fused) | Bb-LR: 0.000099 / Gt-LR: 0.00628] -> Loss: 0.7078 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.40%) | [G-Gate: 0.745 / L-Gate: 0.255]
Epoch 063/100 [PHASE-2 (Fused) | Bb-LR: 0.000095 / Gt-LR: 0.00565] -> Loss: 0.7074 | Train Top-1: 100.00% | ★Test Top-1: 74.08% (Top-5: 95.22%) | [G-Gate: 0.747 / L-Gate: 0.253]
Epoch 064/100 [PHASE-2 (Fused) | Bb-LR: 0.000090 / Gt-LR: 0.00508] -> Loss: 0.7070 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.22%) | [G-Gate: 0.748 / L-Gate: 0.252]
Epoch 065/100 [PHASE-2 (Fused) | Bb-LR: 0.000086 / Gt-LR: 0.00458] -> Loss: 0.7066 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.04%) | [G-Gate: 0.749 / L-Gate: 0.251]
Epoch 066/100 [PHASE-2 (Fused) | Bb-LR: 0.000082 / Gt-LR: 0.00412] -> Loss: 0.7069 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 94.85%) | [G-Gate: 0.752 / L-Gate: 0.248]
Epoch 067/100 [PHASE-2 (Fused) | Bb-LR: 0.000078 / Gt-LR: 0.00371] -> Loss: 0.7062 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.04%) | [G-Gate: 0.753 / L-Gate: 0.247]
Epoch 068/100 [PHASE-2 (Fused) | Bb-LR: 0.000074 / Gt-LR: 0.00334] -> Loss: 0.7061 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.04%) | [G-Gate: 0.754 / L-Gate: 0.246]
Epoch 069/100 [PHASE-2 (Fused) | Bb-LR: 0.000070 / Gt-LR: 0.00300] -> Loss: 0.7059 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.22%) | [G-Gate: 0.755 / L-Gate: 0.245]
